scfFolio2,scfConsec2,scfNombre2,scfCodigo2,scfValor2,scfRazon12,scfRazon22,scfRazon32,scfCodErr2,scfRecal2,scfFraude2,inpICCVal2
2344522,1,BC SCORE,7,0686,15,21,04, , , , 
2344440,1,BC SCORE,7,0683,13,04, , , , , 
2344495,1,BC SCORE,7,0505,13,01, , , , , 
2343238,1,BC SCORE,7,0667,28,13,04, , , , 
2344485,1,BC SCORE,7,0626,17,15,09, , , , 
2344763,1,BC SCORE,7,0692,21,09, , , , , 
2344530,1,BC SCORE,7,0707,16, , , , , , 
2344502,1,BC SCORE,7,0662,13,04, , , , , 
2344509,1,BC SCORE,7,0632,15,13, , , , , 
2344572,1,BC SCORE,7,0699,29,09,28, , , , 
2344726,1,BC SCORE,7,0727,04, , , , , , 
2344511,1,BC SCORE,7,0670,28,04,09, , , , 
2344535,1,BC SCORE,7,0729,04, , , , , , 
2344525,1,BC SCORE,7,0561,17,13,28, , , , 
2344594,1,BC SCORE,7,0495,01, , , , , , 
2344557,1,BC SCORE,7,0511,17,07,05, , , , 
2342754,1,BC SCORE,7,0668,28,15, , , , , 
2344544,1,BC SCORE,7,0701,56, , , , , , 
2344552,1,BC SCORE,7,0657,15,28, , , , , 
2344570,1,BC SCORE,7,0678,28,15,04, , , , 
2344813,1,BC SCORE,7,0682,15,28, , , , , 
2344712,1,BC SCORE,7,-009, , , , , , , 
2344695,1,BC SCORE,7,-009, , , , , , , 
2344704,1,BC SCORE,7,0658,09,16,31, , , , 
2344829,1,BC SCORE,7,0656,05,18,32, , , , 
2344869,1,BC SCORE,7,-009, , , , , , , 
2344716,1,BC SCORE,7,0668,28,15,31, , , , 
2344728,1,BC SCORE,7,0645,05,28, , , , , 
2344725,1,BC SCORE,7,0662,28,15,21, , , , 
2344732,1,BC SCORE,7,0719,21,04, , , , , 
2340569,1,BC SCORE,7,0675,15,28,31, , , , 
2344778,1,BC SCORE,7,-009, , , , , , , 
2344736,1,BC SCORE,7,0691,15,04,28, , , , 
2344828,1,BC SCORE,7,0682,04,13, , , , , 
2344908,1,BC SCORE,7,0690,15,04, , , , , 
2344808,1,BC SCORE,7,0583,17,05,28, , , , 
2344953,1,BC SCORE,7,0730,04, , , , , , 
2345029,1,BC SCORE,7,0719,04, , , , , , 
2344877,1,BC SCORE,7,0717,04, , , , , , 
2344888,1,BC SCORE,7,0648,05,31,21, , , , 
2344916,1,BC SCORE,7,0703,18,04, , , , , 
2344952,1,BC SCORE,7,0680,15,28,04, , , , 
2344933,1,BC SCORE,7,0685,21,28, , , , , 
2344975,1,BC SCORE,7,0560,28,21,31, , , , 
2266636,1,BC SCORE,7,0655,17,16,31, , , , 
2344986,1,BC SCORE,7,0680,13,04, , , , , 
2345035,1,BC SCORE,7,0706,57, , , , , , 
2345021,1,BC SCORE,7,0700,15, , , , , , 
2345015,1,BC SCORE,7,0703,17,04, , , , , 
2345026,1,BC SCORE,7,0679,28,32,21, , , , 
2345049,1,BC SCORE,7,0703,21,04, , , , , 
2345048,1,BC SCORE,7,-009, , , , , , , 
2345058,1,BC SCORE,7,0731,52, , , , , , 
2346225,1,BC SCORE,7,0561,28,21,17, , , , 
2345158,1,BC SCORE,7,0729,04, , , , , , 
2345137,1,BC SCORE,7,0732,04, , , , , , 
2345165,1,BC SCORE,7,0548,17,13,15, , , , 
2345169,1,BC SCORE,7,-008, , , , , , , 
2345179,1,BC SCORE,7,0582,21, , , , , , 
2345183,1,BC SCORE,7,0658,28, , , , , , 
2345240,1,BC SCORE,7,0666,28,05, , , , , 
2345309,1,BC SCORE,7,0634,09,28, , , , , 
2216551,1,BC SCORE,7,0634,31,32,18, , , , 
2345329,1,BC SCORE,7,0578,21, , , , , , 
2345332,1,BC SCORE,7,0668,32,20, , , , , 
2345358,1,BC SCORE,7,0673,28,16,31, , , , 
2345401,1,BC SCORE,7,0665,17,28, , , , , 
2345499,1,BC SCORE,7,0665,05,32,18, , , , 
2345498,1,BC SCORE,7,0645,13,18,15, , , , 
2345453,1,BC SCORE,7,-009, , , , , , , 
2345546,1,BC SCORE,7,0716,04, , , , , , 
2345734,1,BC SCORE,7,0674,28,16, , , , , 
2345566,1,BC SCORE,7,0732,04, , , , , , 
2216551,1,BC SCORE,7,0634,31,32,18, , , , 
2345730,1,BC SCORE,7,0596,15,28,21, , , , 
2345582,1,BC SCORE,7,0674,15,28,16, , , , 
2338270,1,BC SCORE,7,-008, , , , , , , 
2345624,1,BC SCORE,7,-009, , , , , , , 
2346369,1,BC SCORE,7,0652,13,32, , , , , 
2345762,1,BC SCORE,7,0671,04,28, , , , , 
2345713,1,BC SCORE,7,0662,17,16,09, , , , 
2345791,1,BC SCORE,7,0685,15,16,04, , , , 
2345768,1,BC SCORE,7,0699,15,29,04, , , , 
2345827,1,BC SCORE,7,0665,32,04,28, , , , 
2346010,1,BC SCORE,7,0696,28, , , , , , 
2345862,1,BC SCORE,7,0651,15,28,16, , , , 
2345860,1,BC SCORE,7,0616,28,17,21, , , , 
2345920,1,BC SCORE,7,0724,04,28, , , , , 
2345900,1,BC SCORE,7,0722,04,28, , , , , 
2345938,1,BC SCORE,7,0681,16, , , , , , 
2346003,1,BC SCORE,7,0697,15,29,28, , , , 
2345952,1,BC SCORE,7,0667,05,28, , , , , 
2345982,1,BC SCORE,7,0678,28,16, , , , , 
2345992,1,BC SCORE,7,0698,21,04, , , , , 
2346009,1,BC SCORE,7,0699,18,16,31, , , , 
2346052,1,BC SCORE,7,0700,15,04, , , , , 
2346102,1,BC SCORE,7,0652,17,16,28, , , , 
2346322,1,BC SCORE,7,0575,21,28, , , , , 
2333125,1,BC SCORE,7,0615,17,05,21, , , , 
2346108,1,BC SCORE,7,0703,15,04, , , , , 
2346172,1,BC SCORE,7,0611,15,09,17, , , , 
2346154,1,BC SCORE,7,0647,28,13, , , , , 
2346152,1,BC SCORE,7,0572,28,21, , , , , 
2247282,1,BC SCORE,7,0580,17,15,05, , , , 
2346235,1,BC SCORE,7,0621,17,15,28, , , , 
2346236,1,BC SCORE,7,0696,18, , , , , , 
2346254,1,BC SCORE,7,0666,17,16,31, , , , 
2346249,1,BC SCORE,7,0681,13,04, , , , , 
2346245,1,BC SCORE,7,0481,01,13, , , , , 
2346255,1,BC SCORE,7,0572,21,28,31, , , , 
2346259,1,BC SCORE,7,0692,17, , , , , , 
2346304,1,BC SCORE,7,0663,17,31, , , , , 
2346312,1,BC SCORE,7,0573,17,13, , , , , 
2346328,1,BC SCORE,7,0706,15,28,04, , , , 
2346338,1,BC SCORE,7,0671,17, , , , , , 
2346371,1,BC SCORE,7,0671,17,16, , , , , 
2346350,1,BC SCORE,7,0675,28,16, , , , , 
2346358,1,BC SCORE,7,0507,17,05,21, , , , 
2346363,1,BC SCORE,7,0694,15, , , , , , 
2346392,1,BC SCORE,7,-009, , , , , , , 
2346497,1,BC SCORE,7,0721,04, , , , , , 
2346417,1,BC SCORE,7,0634,28,21,09, , , , 
2346433,1,BC SCORE,7,0652,15,05,18, , , , 
2346469,1,BC SCORE,7,0651,61, , , , , , 
2346553,1,BC SCORE,7,0701,15,09, , , , , 
2346518,1,BC SCORE,7,0729,04, , , , , , 
2346586,1,BC SCORE,7,0680,15,28, , , , , 
2346542,1,BC SCORE,7,0567,21,28, , , , , 
2346567,1,BC SCORE,7,0713,04, , , , , , 
2346577,1,BC SCORE,7,0681,28, , , , , , 
2346584,1,BC SCORE,7,0655,17,16,15, , , , 
2346580,1,BC SCORE,7,0588,21, , , , , , 
2346599,1,BC SCORE,7,0665,28,04,09, , , , 
2305194,1,BC SCORE,7,-008, , , , , , , 
2346603,1,BC SCORE,7,0683,04,09, , , , , 
2346607,1,BC SCORE,7,0686,15,29,09, , , , 
2346796,1,BC SCORE,7,0721,04,28, , , , , 
2346753,1,BC SCORE,7,-008, , , , , , , 
2346754,1,BC SCORE,7,0691,04,09, , , , , 
2255529,1,BC SCORE,7,0731,52, , , , , , 
2346766,1,BC SCORE,7,-008, , , , , , , 
2330448,1,BC SCORE,7,0691,16, , , , , , 
2307708,1,BC SCORE,7,0681,28, , , , , , 
2346842,1,BC SCORE,7,0716,04, , , , , , 
2346919,1,BC SCORE,7,0563,17,13, , , , , 
2346826,1,BC SCORE,7,0717,04,28, , , , , 
2346833,1,BC SCORE,7,0724,04,28, , , , , 
2346879,1,BC SCORE,7,0682,05, , , , , , 
2348016,1,BC SCORE,7,-009, , , , , , , 
2346878,1,BC SCORE,7,0670,28, , , , , , 
2346964,1,BC SCORE,7,-009, , , , , , , 
2346896,1,BC SCORE,7,0732,04, , , , , , 
2346956,1,BC SCORE,7,-008, , , , , , , 
2346958,1,BC SCORE,7,0665,21,16, , , , , 
2347097,1,BC SCORE,7,0645,15,17,16, , , , 
2346984,1,BC SCORE,7,0638,17,28,16, , , , 
2347017,1,BC SCORE,7,0636,05, , , , , , 
2347089,1,BC SCORE,7,0562,60, , , , , , 
2347072,1,BC SCORE,7,0693,15,04, , , , , 
2347126,1,BC SCORE,7,0670,28,05, , , , , 
2347085,1,BC SCORE,7,0674,15,21, , , , , 
2347094,1,BC SCORE,7,0732,04, , , , , , 
2347113,1,BC SCORE,7,0675,15,18,04, , , , 
2347128,1,BC SCORE,7,0664,28,21,32, , , , 
2346890,1,BC SCORE,7,-008, , , , , , , 
2347106,1,BC SCORE,7,0642,28,18,04, , , , 
2347268,1,BC SCORE,7,-009, , , , , , , 
2347129,1,BC SCORE,7,0726,31,04, , , , , 
2347479,1,BC SCORE,7,0673,17, , , , , , 
2347183,1,BC SCORE,7,0727,04, , , , , , 
2347302,1,BC SCORE,7,0658,05, , , , , , 
2347203,1,BC SCORE,7,0670,13,32, , , , , 
2347221,1,BC SCORE,7,0720,21,04, , , , , 
2347222,1,BC SCORE,7,0677,31, , , , , , 
2347293,1,BC SCORE,7,0648,15,05, , , , , 
2347737,1,BC SCORE,7,0716,21,04, , , , , 
2340086,1,BC SCORE,7,0624,15,17,28, , , , 
2347327,1,BC SCORE,7,0699,04, , , , , , 
2347341,1,BC SCORE,7,0728,04, , , , , , 
2347359,1,BC SCORE,7,0692,15,04, , , , , 
2347363,1,BC SCORE,7,0680,04,13, , , , , 
2347423,1,BC SCORE,7,0720,21,04, , , , , 
2347451,1,BC SCORE,7,0623,05,21,17, , , , 
2346789,1,BC SCORE,7,0641,13,28,32, , , , 
2347480,1,BC SCORE,7,0564,09,17,05, , , , 
2347521,1,BC SCORE,7,0675,16,28, , , , , 
2347539,1,BC SCORE,7,0673,05, , , , , , 
2347710,1,BC SCORE,7,0627,17,15,28, , , , 
2347680,1,BC SCORE,7,0542,17,32,31, , , , 
2348062,1,BC SCORE,7,0559,17,13,15, , , , 
2347698,1,BC SCORE,7,0683,28, , , , , , 
2347692,1,BC SCORE,7,0655,05,32, , , , , 
2347693,1,BC SCORE,7,0639,17,15,16, , , , 
2347701,1,BC SCORE,7,0708,04, , , , , , 
2347700,1,BC SCORE,7,0688,04,09, , , , , 
2347712,1,BC SCORE,7,0706,51, , , , , , 
2347724,1,BC SCORE,7,0682,04,13, , , , , 
2347738,1,BC SCORE,7,0561,28,21, , , , , 
2347760,1,BC SCORE,7,0559,17,13,28, , , , 
2347803,1,BC SCORE,7,0729,04, , , , , , 
2347792,1,BC SCORE,7,0677,28, , , , , , 
2347808,1,BC SCORE,7,-008, , , , , , , 
2344491,1,BC SCORE,7,0516,01,15, , , , , 
2347832,1,BC SCORE,7,-009, , , , , , , 
2347892,1,BC SCORE,7,0717,04, , , , , , 
2348689,1,BC SCORE,7,0726,04, , , , , , 
2348028,1,BC SCORE,7,0686,28,04, , , , , 
2347991,1,BC SCORE,7,0713,16,04, , , , , 
2347994,1,BC SCORE,7,0625,15,05,28, , , , 
2348036,1,BC SCORE,7,0688,16,04, , , , , 
2348047,1,BC SCORE,7,0698,31, , , , , , 
2348109,1,BC SCORE,7,0649,21,09,16, , , , 
2348075,1,BC SCORE,7,0674,17,31, , , , , 
2348103,1,BC SCORE,7,0696,21,04, , , , , 
2348105,1,BC SCORE,7,0613,17,05,21, , , , 
2344490,1,BC SCORE,7,-009, , , , , , , 
2348159,1,BC SCORE,7,0624,28,31, , , , , 
2348140,1,BC SCORE,7,0657,28,15,18, , , , 
2348143,1,BC SCORE,7,0702,15,04, , , , , 
2348195,1,BC SCORE,7,0689,15,21,04, , , , 
2348635,1,BC SCORE,7,0668,15,16,04, , , , 
2348229,1,BC SCORE,7,0673,17, , , , , , 
2348207,1,BC SCORE,7,-009, , , , , , , 
2348280,1,BC SCORE,7,0722,04, , , , , , 
2348287,1,BC SCORE,7,0654,05,15, , , , , 
2348297,1,BC SCORE,7,0630,17,15,28, , , , 
2348304,1,BC SCORE,7,0613,15,28, , , , , 
2348385,1,BC SCORE,7,0642,17,16,31, , , , 
2348348,1,BC SCORE,7,0711,04,28, , , , , 
2349257,1,BC SCORE,7,0585,21,31, , , , , 
2348468,1,BC SCORE,7,0699,17,04, , , , , 
2348884,1,BC SCORE,7,0722,04, , , , , , 
2348469,1,BC SCORE,7,0625,28, , , , , , 
2348474,1,BC SCORE,7,0694,04,28, , , , , 
2348575,1,BC SCORE,7,0712,56, , , , , , 
2348600,1,BC SCORE,7,0721,04, , , , , , 
2348500,1,BC SCORE,7,0570,21,28, , , , , 
2348528,1,BC SCORE,7,0645,13, , , , , , 
2348510,1,BC SCORE,7,0641,09,05, , , , , 
2348558,1,BC SCORE,7,0578,21, , , , , , 
2348560,1,BC SCORE,7,-009, , , , , , , 
2348958,1,BC SCORE,7,-008, , , , , , , 
2348924,1,BC SCORE,7,0650,28,13,04, , , , 
2348620,1,BC SCORE,7,-009, , , , , , , 
2348649,1,BC SCORE,7,0670,17,16, , , , , 
2348748,1,BC SCORE,7,0715,04,28, , , , , 
2348730,1,BC SCORE,7,0573,21,05, , , , , 
2348746,1,BC SCORE,7,0689,21,15, , , , , 
2348783,1,BC SCORE,7,0668,13,04,28, , , , 
2348823,1,BC SCORE,7,-008, , , , , , , 
2348839,1,BC SCORE,7,0737,52, , , , , , 
2348872,1,BC SCORE,7,0721,04, , , , , , 
2348903,1,BC SCORE,7,-005, , , , , , , 
2337105,1,BC SCORE,7,0710,56, , , , , , 
2349124,1,BC SCORE,7,-009, , , , , , , 
2348926,1,BC SCORE,7,0684,04, , , , , , 
2349033,1,BC SCORE,7,0732,04, , , , , , 
2307989,1,BC SCORE,7,0701,15,04, , , , , 
2348955,1,BC SCORE,7,0716,04, , , , , , 
2348996,1,BC SCORE,7,-008, , , , , , , 
2349023,1,BC SCORE,7,0711,04, , , , , , 
2349074,1,BC SCORE,7,0726,04, , , , , , 
2349051,1,BC SCORE,7,0575,21,28, , , , , 
2349068,1,BC SCORE,7,0572,28,21, , , , , 
2349099,1,BC SCORE,7,0639,15,05,28, , , , 
2347114,1,BC SCORE,7,0719,29,04, , , , , 
2349177,1,BC SCORE,7,0691,16,04, , , , , 
2349111,1,BC SCORE,7,0680,17,16, , , , , 
2345909,1,BC SCORE,7,0686,04,13, , , , , 
2349221,1,BC SCORE,7,-009, , , , , , , 
2349220,1,BC SCORE,7,0668,05, , , , , , 
2349214,1,BC SCORE,7,0572,28,21, , , , , 
2349264,1,BC SCORE,7,0710,21,04, , , , , 
2349283,1,BC SCORE,7,-009, , , , , , , 
2349279,1,BC SCORE,7,0561,28,21,17, , , , 
2349469,1,BC SCORE,7,0662,18,21, , , , , 
2349553,1,BC SCORE,7,0672,15,16,04, , , , 
2348474,1,BC SCORE,7,0694,04,28, , , , , 
2340697,1,BC SCORE,7,0712,28,16,04, , , , 
2316949,1,BC SCORE,7,0630,13,15, , , , , 
2349778,1,BC SCORE,7,0671,18,32, , , , , 
2350000,1,BC SCORE,7,0652,17,16,15, , , , 
2349763,1,BC SCORE,7,0685,15,28, , , , , 
2350094,1,BC SCORE,7,0710,04, , , , , , 
2349827,1,BC SCORE,7,0674,13,04, , , , , 
2349817,1,BC SCORE,7,0652,28,13,04, , , , 
2349972,1,BC SCORE,7,-008, , , , , , , 
2350088,1,BC SCORE,7,0724,04,28, , , , , 
2349888,1,BC SCORE,7,0693,15,29,09, , , , 
2349966,1,BC SCORE,7,-008, , , , , , , 
2346607,1,BC SCORE,7,0686,15,29,09, , , , 
2349971,1,BC SCORE,7,0621,28,15, , , , , 
2349968,1,BC SCORE,7,0683,05, , , , , , 
2350131,1,BC SCORE,7,0714,29,04, , , , , 
2350015,1,BC SCORE,7,0662,31,18, , , , , 
2350008,1,BC SCORE,7,0668,28,16, , , , , 
2335626,1,BC SCORE,7,0661,28,13,04, , , , 
2350026,1,BC SCORE,7,0654,18,04, , , , , 
2348187,1,BC SCORE,7,0681,28, , , , , , 
2350454,1,BC SCORE,7,0698,16,31,04, , , , 
2350080,1,BC SCORE,7,0552,17,13,28, , , , 
2350403,1,BC SCORE,7,0669,15, , , , , , 
2350114,1,BC SCORE,7,0689,15,29,04, , , , 
2350153,1,BC SCORE,7,0572,17,13, , , , , 
2350192,1,BC SCORE,7,0688,15,16,04, , , , 
2350339,1,BC SCORE,7,0672,16, , , , , , 
2350219,1,BC SCORE,7,0704,31,16,04, , , , 
2350313,1,BC SCORE,7,0666,04,09, , , , , 
2350294,1,BC SCORE,7,0688,15,09, , , , , 
2351708,1,BC SCORE,7,0621,31,32,20, , , , 
2350293,1,BC SCORE,7,0728,04,28, , , , , 
2350302,1,BC SCORE,7,0698,04, , , , , , 
2350594,1,BC SCORE,7,0693,15,28, , , , , 
2350654,1,BC SCORE,7,0666,28,32, , , , , 
2350391,1,BC SCORE,7,0674,05, , , , , , 
2350388,1,BC SCORE,7,0703,28,16,04, , , , 
2350395,1,BC SCORE,7,0691,15,28, , , , , 
2350767,1,BC SCORE,7,0676,05, , , , , , 
2350418,1,BC SCORE,7,-009, , , , , , , 
2350451,1,BC SCORE,7,0543,17,32,31, , , , 
2350512,1,BC SCORE,7,0513,13,01, , , , , 
2350460,1,BC SCORE,7,0637,15,09,28, , , , 
2350469,1,BC SCORE,7,0678,17,28,16, , , , 
2350536,1,BC SCORE,7,-009, , , , , , , 
2319490,1,BC SCORE,7,0697,18, , , , , , 
2350514,1,BC SCORE,7,0702,51, , , , , , 
2350578,1,BC SCORE,7,0667,18,32, , , , , 
2354607,1,BC SCORE,7,0674,04,13, , , , , 
2350543,1,BC SCORE,7,0650,32,28,04, , , , 
2350695,1,BC SCORE,7,0715,04, , , , , , 
2350635,1,BC SCORE,7,0731,04, , , , , , 
2350663,1,BC SCORE,7,0659,15,28,21, , , , 
2350702,1,BC SCORE,7,0611,17,05,28, , , , 
2264505,1,BC SCORE,7,0668,05, , , , , , 
2351686,1,BC SCORE,7,0668,17,16,31, , , , 
2350707,1,BC SCORE,7,0714,28, , , , , , 
2350739,1,BC SCORE,7,0696,15,29,09, , , , 
2350797,1,BC SCORE,7,0535,05,28,21, , , , 
2351358,1,BC SCORE,7,0731,04, , , , , , 
2351353,1,BC SCORE,7,0705,04, , , , , , 
2351364,1,BC SCORE,7,0714,04, , , , , , 
2351394,1,BC SCORE,7,0688,04,09, , , , , 
2351463,1,BC SCORE,7,0622,15,28, , , , , 
2351431,1,BC SCORE,7,0492,01,13, , , , , 
2351416,1,BC SCORE,7,0700,21,04, , , , , 
2351447,1,BC SCORE,7,0721,04, , , , , , 
2351469,1,BC SCORE,7,0690,21,29,04, , , , 
2351550,1,BC SCORE,7,0714,29,04, , , , , 
2351472,1,BC SCORE,7,0711,28,04, , , , , 
2351495,1,BC SCORE,7,0572,28,21, , , , , 
2351485,1,BC SCORE,7,0620,17, , , , , , 
2351681,1,BC SCORE,7,0701,31,16,04, , , , 
2351585,1,BC SCORE,7,0675,17,16,31, , , , 
2351544,1,BC SCORE,7,0730,04, , , , , , 
2351649,1,BC SCORE,7,-008, , , , , , , 
2351641,1,BC SCORE,7,0494,07,17,05, , , , 
2248413,1,BC SCORE,7,0550,21,28, , , , , 
2351609,1,BC SCORE,7,0656,05,28, , , , , 
2351834,1,BC SCORE,7,-009, , , , , , , 
2351782,1,BC SCORE,7,0688,15,29,09, , , , 
2351831,1,BC SCORE,7,0729,04, , , , , , 
2351665,1,BC SCORE,7,0714,04, , , , , , 
2351674,1,BC SCORE,7,0643,15,21,16, , , , 
2351679,1,BC SCORE,7,-008, , , , , , , 
2351711,1,BC SCORE,7,0636,17,15,21, , , , 
2342188,1,BC SCORE,7,0615,15,09,17, , , , 
2351696,1,BC SCORE,7,0675,16,15, , , , , 
2351714,1,BC SCORE,7,-009, , , , , , , 
2351798,1,BC SCORE,7,0646,17,16,31, , , , 
2351818,1,BC SCORE,7,0585,17,15,05, , , , 
2351966,1,BC SCORE,7,0657,28,04, , , , , 
2351771,1,BC SCORE,7,0734,04, , , , , , 
2340202,1,BC SCORE,7,0540,17,13,15, , , , 
2341829,1,BC SCORE,7,0720,04, , , , , , 
2351833,1,BC SCORE,7,0629,15,05,28, , , , 
2351858,1,BC SCORE,7,0653,05,28, , , , , 
2351881,1,BC SCORE,7,0697,15,04, , , , , 
2352036,1,BC SCORE,7,-009, , , , , , , 
2351959,1,BC SCORE,7,0695,31,04, , , , , 
2351921,1,BC SCORE,7,0689,15,28, , , , , 
2352206,1,BC SCORE,7,0578,17,15,05, , , , 
2351942,1,BC SCORE,7,0709,29,04, , , , , 
2351947,1,BC SCORE,7,0688,13,04, , , , , 
2351945,1,BC SCORE,7,0493,01,05, , , , , 
2352026,1,BC SCORE,7,-008, , , , , , , 
2352077,1,BC SCORE,7,0655,17,16,28, , , , 
2352074,1,BC SCORE,7,0565,17,13, , , , , 
2352085,1,BC SCORE,7,0628,05,15,28, , , , 
2352170,1,BC SCORE,7,0588,21, , , , , , 
2352090,1,BC SCORE,7,0682,56, , , , , , 
2352141,1,BC SCORE,7,0686,16,31, , , , , 
2352115,1,BC SCORE,7,0641,17,15,16, , , , 
2351561,1,BC SCORE,7,0673,15,28, , , , , 
2352187,1,BC SCORE,7,0697,32,21, , , , , 
2352129,1,BC SCORE,7,-009, , , , , , , 
2352162,1,BC SCORE,7,0699,12, , , , , , 
2352168,1,BC SCORE,7,0556,09,17,05, , , , 
2352171,1,BC SCORE,7,0716,09,04, , , , , 
2352179,1,BC SCORE,7,-009, , , , , , , 
2352275,1,BC SCORE,7,0658,15,28,16, , , , 
2352188,1,BC SCORE,7,0719,21,04, , , , , 
2261950,1,BC SCORE,7,0547,28,21, , , , , 
2352259,1,BC SCORE,7,0681,28,21, , , , , 
2352293,1,BC SCORE,7,0698,15,04, , , , , 
2352240,1,BC SCORE,7,0654,17,16, , , , , 
2352309,1,BC SCORE,7,0643,13,31,28, , , , 
2352304,1,BC SCORE,7,-009, , , , , , , 
2352331,1,BC SCORE,7,0669,05,28, , , , , 
2352314,1,BC SCORE,7,-008, , , , , , , 
2352330,1,BC SCORE,7,0625,28, , , , , , 
2352388,1,BC SCORE,7,0695,15,28,04, , , , 
2352654,1,BC SCORE,7,0698,21,04, , , , , 
2352436,1,BC SCORE,7,0689,28,18, , , , , 
2352425,1,BC SCORE,7,0699,17, , , , , , 
2330853,1,BC SCORE,7,0699,16, , , , , , 
2352439,1,BC SCORE,7,0692,15,28, , , , , 
2352454,1,BC SCORE,7,0713,04, , , , , , 
2352452,1,BC SCORE,7,0709,28,04, , , , , 
2352468,1,BC SCORE,7,0617,28,17, , , , , 
2352504,1,BC SCORE,7,0714,04, , , , , , 
2352519,1,BC SCORE,7,0734,04, , , , , , 
2352520,1,BC SCORE,7,0725,04, , , , , , 
2343983,1,BC SCORE,7,0660,13,04, , , , , 
2352542,1,BC SCORE,7,0516,07,28,20, , , , 
2352970,1,BC SCORE,7,0668,05, , , , , , 
2352634,1,BC SCORE,7,0702,15,04,28, , , , 
2346496,1,BC SCORE,7,0712,21,04, , , , , 
2352648,1,BC SCORE,7,0648,28,15,21, , , , 
2352678,1,BC SCORE,7,0637,05,28,32, , , , 
2352766,1,BC SCORE,7,0693,21,04, , , , , 
2352716,1,BC SCORE,7,0645,15,28,16, , , , 
2352687,1,BC SCORE,7,0731,04, , , , , , 
2352715,1,BC SCORE,7,0667,04,09, , , , , 
2352701,1,BC SCORE,7,0493,01,05, , , , , 
2352717,1,BC SCORE,7,0643,15,05,28, , , , 
2352726,1,BC SCORE,7,0720,21,04, , , , , 
2352745,1,BC SCORE,7,0682,15,04, , , , , 
2352739,1,BC SCORE,7,0651,05,28, , , , , 
2352746,1,BC SCORE,7,0700,21,04, , , , , 
2352771,1,BC SCORE,7,0695,16,17,04, , , , 
2352760,1,BC SCORE,7,0673,15,31, , , , , 
2352872,1,BC SCORE,7,-009, , , , , , , 
2352796,1,BC SCORE,7,0693,15,04, , , , , 
2352845,1,BC SCORE,7,0656,28,16,15, , , , 
2352836,1,BC SCORE,7,0636,61, , , , , , 
2353097,1,BC SCORE,7,0692,57, , , , , , 
2352870,1,BC SCORE,7,0663,15,16, , , , , 
2352867,1,BC SCORE,7,0623,28, , , , , , 
2353968,1,BC SCORE,7,0676,04,28, , , , , 
2352864,1,BC SCORE,7,0631,61, , , , , , 
2352888,1,BC SCORE,7,0728,04, , , , , , 
2352898,1,BC SCORE,7,0693,28,16, , , , , 
2353074,1,BC SCORE,7,0722,04, , , , , , 
2352906,1,BC SCORE,7,0739,04, , , , , , 
2352896,1,BC SCORE,7,0548,17,13,15, , , , 
2352900,1,BC SCORE,7,0685,17,31, , , , , 
2352979,1,BC SCORE,7,0684,28, , , , , , 
2352989,1,BC SCORE,7,0671,31,28, , , , , 
2352961,1,BC SCORE,7,-009, , , , , , , 
2244712,1,BC SCORE,7,0702,57, , , , , , 
2353008,1,BC SCORE,7,0616,13,31,28, , , , 
2353096,1,BC SCORE,7,0696,15,29,09, , , , 
2353029,1,BC SCORE,7,0675,13,04, , , , , 
2353018,1,BC SCORE,7,0668,15,28, , , , , 
2378263,1,BC SCORE,7,0664,18,28,32, , , , 
2377700,1,BC SCORE,7,0666,13,04, , , , , 
2353249,1,BC SCORE,7,0646,17,28,15, , , , 
2353076,1,BC SCORE,7,0541,15,17,09, , , , 
2353155,1,BC SCORE,7,0618,28,17,15, , , , 
2353166,1,BC SCORE,7,0680,04, , , , , , 
2353085,1,BC SCORE,7,0640,17,28,31, , , , 
2335429,1,BC SCORE,7,0552,17,15,13, , , , 
2353095,1,BC SCORE,7,0704,16,31,04, , , , 
2353103,1,BC SCORE,7,0660,13,04,18, , , , 
2353207,1,BC SCORE,7,0667,15,28,04, , , , 
2353512,1,BC SCORE,7,0724,04, , , , , , 
2353123,1,BC SCORE,7,0555,15,17,05, , , , 
2353184,1,BC SCORE,7,-008, , , , , , , 
2353443,1,BC SCORE,7,0671,04,09, , , , , 
2353499,1,BC SCORE,7,-009, , , , , , , 
2353194,1,BC SCORE,7,0574,21,17, , , , , 
2353250,1,BC SCORE,7,0684,04, , , , , , 
2353219,1,BC SCORE,7,0699,04, , , , , , 
2353252,1,BC SCORE,7,0721,04, , , , , , 
2353515,1,BC SCORE,7,0717,21,04, , , , , 
2353278,1,BC SCORE,7,0683,16,31, , , , , 
2353298,1,BC SCORE,7,0666,16,17,31, , , , 
2338864,1,BC SCORE,7,0681,15,16,04, , , , 
2353292,1,BC SCORE,7,0665,17,16, , , , , 
2353312,1,BC SCORE,7,0615,15,28,17, , , , 
2353289,1,BC SCORE,7,-009, , , , , , , 
2353548,1,BC SCORE,7,0671,17,16,31, , , , 
2353372,1,BC SCORE,7,0555,21,17, , , , , 
2353349,1,BC SCORE,7,0659,05,31, , , , , 
2353339,1,BC SCORE,7,0659,17,16,28, , , , 
2353978,1,BC SCORE,7,0662,05,21,32, , , , 
2353379,1,BC SCORE,7,0673,04,09, , , , , 
2353404,1,BC SCORE,7,-009, , , , , , , 
2265818,1,BC SCORE,7,0639,13,28,32, , , , 
